# 分类,频道，清晰度,来源,地址[,排序]

卫视,广东卫视,高清,北邮,http://ivi.bupt.edu.cn/hls/gdhd.m3u8
卫视,天津卫视,高清,北邮,http://ivi.bupt.edu.cn/hls/tjhd.m3u8
卫视,湖北卫视,高清,北邮,http://ivi.bupt.edu.cn/hls/hbhd.m3u8
卫视,山东卫视,高清,北邮,http://ivi.bupt.edu.cn/hls/sdhd.m3u8
卫视,重庆卫视,高清,北邮,http://ivi.bupt.edu.cn/hls/cqhd.m3u8
卫视,东南卫视,高清,北邮,http://ivi.bupt.edu.cn/hls/dnhd.m3u8
卫视,四川卫视,高清,北邮,http://ivi.bupt.edu.cn/hls/schd.m3u8
卫视,河北卫视,高清,北邮,http://ivi.bupt.edu.cn/hls/hebhd.m3u8
卫视,江西卫视,高清,北邮,http://ivi.bupt.edu.cn/hls/jxhd.m3u8
卫视,河南卫视,高清,北邮,http://ivi.bupt.edu.cn/hls/hnhd.m3u8
卫视,广西卫视,高清,北邮,http://ivi.bupt.edu.cn/hls/gxhd.m3u8
卫视,吉林卫视,高清,北邮,http://ivi.bupt.edu.cn/hls/jlhd.m3u8
卫视,CETV-1,高清,北邮,http://ivi.bupt.edu.cn/hls/cetv1hd.m3u8
卫视,海南卫视,高清,北邮,http://ivi.bupt.edu.cn/hls/lyhd.m3u8
卫视,贵州卫视,高清,北邮,http://ivi.bupt.edu.cn/hls/gzhd.m3u8
卫视,北京文艺,高清,北邮,http://ivi.bupt.edu.cn/hls/btv2hd.m3u8
卫视,北京影视,高清,北邮,http://ivi.bupt.edu.cn/hls/btv4hd.m3u8
卫视,北京新闻,高清,北邮,http://ivi.bupt.edu.cn/hls/btv9hd.m3u8
卫视,北京卡酷少儿,高清,北邮,http://ivi.bupt.edu.cn/hls/btv9hd.m3u8
卫视,CHC高清电影,高清,北邮,http://ivi.bupt.edu.cn/hls/chchd.m3u8

卫视,北京卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/btv1.m3u8
卫视,湖南卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/hunantv.m3u8
卫视,江苏卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/jstv.m3u8
卫视,东方卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/dftv.m3u8
卫视,深圳卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/sztv.m3u8
卫视,安徽卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/ahtv.m3u8
卫视,河南卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/hntv.m3u8
卫视,陕西卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/sxtv.m3u8
卫视,吉林卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/jltv.m3u8
卫视,广东卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/gdtv.m3u8
卫视,山东卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/sdtv.m3u8
卫视,湖北卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/hbtv.m3u8
